"","name","years","genere","platform"
"38","
			
			13. The Elder Scrolls V: Skyrim		","
							November 10, 2011						","
							Role-playing (RPG), Adventure						","
							Xbox One, Xbox Series X|S, PlayStation 4, PlayStation 5, Nintendo Switch, PC (Microsoft Windows)						"
"39","
			
			12. Wii Sports		","
							November 19, 2006						","
							Simulator, Sport						","
							Wii						"
"40","
			
			11. Pokémon HeartGold and SoulSilver		","
							September 12, 2009						","
							Role-playing (RPG), Turn-based strategy (TBS), Adventure						","
							Nintendo DS						"
"41","
			
			10. Super Mario 64		","
							June 23, 1996						","
							Platform, Adventure						","
							Nintendo 64, Wii, Wii U						"
"42","
			
			9. Half-Life 2		","
							November 16, 2004						","
							Shooter						","
							Linux, PC (Microsoft Windows), PlayStation 3, Xbox, Xbox 360, Mac, Android						"
"43","
			
			8. Hades		","
							December 10, 2019						","
							Role-playing (RPG), Hack and slash/Beat 'em up, Adventure, Indie						","
							PC (Microsoft Windows), Mac, PlayStation 4, Xbox One, Nintendo Switch, PlayStation 5, Xbox Series X|S						"
"44","
			
			7. The Legend of Zelda: Ocarina of Time		","
							November 21, 1998						","
							Role-playing (RPG), Adventure						","
							Nintendo 64, Wii, Nintendo GameCube, Wii U						"
"45","
			
			6. Minecraft		","
							November 18, 2011						","
							Simulator, Adventure						","
							Linux, PC (Microsoft Windows), Mac						"
"46","
			
			5. Pac-Man		","
							May 22, 1980						","
							Arcade						","
							PC (Microsoft Windows), Xbox 360, Arcade, Legacy Cellphone, Commodore VIC-20, BlackBerry OS, Windows Phone, Sharp X1, Texas Instruments TI-99, PC-98, FM-7, Sharp MZ-2200, Palm OS						"
"47","
			
			4. The Legend of Zelda: Breath of the Wild		","
							March 03, 2017						","
							Role-playing (RPG), Adventure						","
							Wii U, Nintendo Switch						"
"48","
			
			3. Super Mario Bros. 3		","
							October 23, 1988						","
							Platform						","
							Wii, Nintendo Entertainment System (NES), Nintendo 3DS, Wii U, Arcade, Family Computer						"
"49","
			
			2. Portal 2		","
							April 18, 2011						","
							Shooter, Platform, Puzzle, Adventure						","
							Linux, PC (Microsoft Windows), PlayStation 3, Xbox 360, Mac						"
"50","
			
			1. Tetris		","
							May 14, 1989						","
							Puzzle						","
							Game Boy						"
